Timing is on.
   customer_id    |   customername    
------------------+-------------------
 AAAAAAAAAFAABAAA | Wheeler, Floyd
 AAAAAAAABNCCBAAA | Bailey, Joshua
 AAAAAAAACBPNAAAA | Cooper, Jeremy
 AAAAAAAACCJLAAAA | Taylor, Todd
 AAAAAAAACLFEBAAA | Kelly, Kristina
 AAAAAAAADAJHAAAA | Davis, Betty
 AAAAAAAADENCBAAA | Stokes, Marie
 AAAAAAAAEHNEBAAA | Ramsey, Marci
 AAAAAAAAEHNEBAAA | Ramsey, Marci
 AAAAAAAAEPEAAAAA | Morse, Edward
 AAAAAAAAFNGPAAAA | Sullivan, Duane
 AAAAAAAAGEFHBAAA | Chambers, Earnest
 AAAAAAAAGFOAAAAA | Riddle, Ethel
 AAAAAAAAGFOAAAAA | Riddle, Ethel
 AAAAAAAAGLOHAAAA | Sauls, Robert
 AAAAAAAAHBBNAAAA | Guerra, Susan
 AAAAAAAAHOADBAAA | Rojas, Chester
 AAAAAAAAHPAKAAAA | Buckner, Carl
 AAAAAAAAJIIJAAAA | Mcfarland, Terri
 AAAAAAAAJKOGAAAA | Palmer, Robert
 AAAAAAAAKBMDBAAA | Kidd, Cameron
 AAAAAAAAKJKHAAAA | Miller, Tova
 AAAAAAAALDPEAAAA | Coleman, Sharon
 AAAAAAAAMNMLAAAA | Kelly, Thomas
 AAAAAAAANCGHAAAA | Burris, Un
 AAAAAAAANGEMAAAA | Kline, Alfred
 AAAAAAAAPCGFBAAA | Callahan, Steven
(27 rows)

Time: 135,503 ms
