Timing is on.
 ss_customer_sk | sumsales 
----------------+----------
             57 |     0.00
            115 |     0.00
            165 |     0.00
            190 |     0.00
            364 |     0.00
            483 |     0.00
            869 |     0.00
           1156 |     0.00
           1195 |     0.00
           1372 |     0.00
           1400 |     0.00
           1620 |     0.00
           2054 |     0.00
           2149 |     0.00
           2956 |     0.00
           3007 |     0.00
           3114 |     0.00
           3613 |     0.00
           4186 |     0.00
           4584 |     0.00
           4592 |     0.00
           4851 |     0.00
           5413 |     0.00
           5437 |     0.00
           5485 |     0.00
           5768 |     0.00
           6232 |     0.00
           6356 |     0.00
           6639 |     0.00
           6912 |     0.00
           6929 |     0.00
           7239 |     0.00
           7339 |     0.00
           7383 |     0.00
           7603 |     0.00
           7977 |     0.00
           8076 |     0.00
           8218 |     0.00
           8361 |     0.00
           8518 |     0.00
           8564 |     0.00
           8632 |     0.00
           8671 |     0.00
           8985 |     0.00
           9209 |     0.00
           9653 |     0.00
           9752 |     0.00
           9918 |     0.00
           9979 |     0.00
          10124 |     0.00
          10572 |     0.00
          11097 |     0.00
          11116 |     0.00
          11505 |     0.00
          11590 |     0.00
          11717 |     0.00
          11817 |     0.00
          11859 |     0.00
          12060 |     0.00
          12250 |     0.00
          12537 |     0.00
          12578 |     0.00
          12834 |     0.00
          12932 |     0.00
          12945 |     0.00
          13086 |     0.00
          13455 |     0.00
          13489 |     0.00
          14218 |     0.00
          14372 |     0.00
          14701 |     0.00
          14853 |     0.00
          15553 |     0.00
          15645 |     0.00
          15708 |     0.00
          15816 |     0.00
          15880 |     0.00
          16174 |     0.00
          16384 |     0.00
          16583 |     0.00
          17170 |     0.00
          17206 |     0.00
          17462 |     0.00
          17733 |     0.00
          17917 |     0.00
          18388 |     0.00
          18456 |     0.00
          18674 |     0.00
          18997 |     0.00
          19071 |     0.00
          19182 |     0.00
          19202 |     0.00
          19295 |     0.00
          19321 |     0.00
          19477 |     0.00
          19625 |     0.00
          19879 |     0.00
          19921 |     0.00
          20075 |     0.00
          20414 |     0.00
(100 rows)

Time: 1630,924 ms (00:01,631)
