Timing is on.
          c_last_name           |     c_first_name     | c_salutation | c_preferred_cust_flag | ss_ticket_number | cnt 
--------------------------------+----------------------+--------------+-----------------------+------------------+-----
 Aaron                          | Billy                | Dr.          | N                     |            12838 |  16
 Abbott                         | Kenneth              | Dr.          | Y                     |            78379 |  15
 Abbott                         | Phillip              | Sir          | N                     |            43704 |  15
 Abel                           | Ida                  | Dr.          | N                     |           320154 |  16
 Abney                          | Lynda                | Miss         | N                     |           636288 |  16
 Acosta                         | Jacqueline           | Mrs.         | Y                     |           911439 |  16
 Acosta                         | Matthew              | Dr.          | Y                     |           810601 |  15
 Acosta                         | Victor               | Mr.          | N                     |           793413 |  16
 Adams                          | David                | Sir          | Y                     |           295733 |  16
 Adams                          | Kevin                | Dr.          | N                     |           349680 |  15
 Adams                          | Margaret             | Miss         | Y                     |           550943 |  15
 Ainsworth                      | Kermit               | Mr.          | Y                     |           504726 |  15
 Alarcon                        | Hazel                | Miss         | N                     |           883578 |  15
 Aldrich                        | Stephen              | Sir          | Y                     |           424838 |  15
 Alexander                      | Frank                | Dr.          | Y                     |           242566 |  15
 Alexander                      | Lynda                | Ms.          | Y                     |           624834 |  16
 Alfred                         | Howard               | Mr.          | N                     |           956529 |  15
 Alfred                         | Joseph               | Mr.          | N                     |           429121 |  15
 Alicea                         | Eugene               | Mr.          | Y                     |            53540 |  15
 Allen                          | Dorothy              | Ms.          | Y                     |           190359 |  15
 Allen                          | Florence             | Ms.          | N                     |           179857 |  16
 Allen                          | Janet                | Ms.          | Y                     |           154466 |  15
 Allen                          | Jose                 | Mr.          | Y                     |           230807 |  15
 Allen                          | Josefina             | Miss         | N                     |           882824 |  15
 Allen                          | Michael              | Dr.          | Y                     |             7964 |  16
 Allen                          | Sarah                | Mrs.         | Y                     |           435321 |  15
 Allison                        | Mark                 | Mr.          | Y                     |           911426 |  15
 Allison                        | Randy                | Mr.          | Y                     |           851759 |  15
 Allman                         | Gary                 | Dr.          | Y                     |             8236 |  15
 Alston                         | Laurie               | Ms.          | N                     |           660150 |  15
 Alvarado                       | Bryant               | Sir          | Y                     |           571318 |  15
 Amato                          | Ricardo              | Sir          | N                     |           108091 |  15
 Ambrose                        | Willie               | Dr.          | Y                     |           864303 |  15
 Anderson                       | Bobby                | Dr.          | Y                     |           349030 |  16
 Anderson                       | Dave                 | Sir          | Y                     |           257537 |  16
 Anderson                       | Kathryn              | Ms.          | N                     |           704055 |  15
 Anderson                       | Pansy                | Ms.          | Y                     |           833673 |  16
 Anderson                       | Renee                | Mrs.         | N                     |           822956 |  15
 Andrade                        | Eddie                | Mr.          | Y                     |           511014 |  15
 Aquino                         | Henry                | Mr.          | Y                     |           858795 |  15
 Archibald                      | Martha               | Dr.          | Y                     |           106865 |  15
 Armenta                        | Charlie              | Sir          | N                     |           683811 |  16
 Armstrong                      | Anthony              | Dr.          | Y                     |           269375 |  16
 Ashcraft                       | Leo                  | Dr.          | Y                     |           233674 |  15
 Ashford                        | Katherine            | Ms.          | Y                     |           490438 |  15
 Askew                          | Ronald               | Sir          | N                     |           220740 |  15
 Austin                         | Debbie               | Miss         | N                     |            50274 |  15
 Avery                          | Margaret             | Mrs.         | N                     |           499397 |  15
 Bailey                         | Beryl                | Mrs.         | Y                     |           163967 |  16
 Bailey                         | Charity              | Mrs.         | Y                     |           801531 |  15
 Bailey                         | Ines                 | Ms.          | Y                     |           297859 |  15
 Bailey                         | Ira                  | Mr.          | N                     |           158500 |  15
 Bailey                         | James                | Dr.          | N                     |           700948 |  15
 Bailey                         | Nannie               | Ms.          | Y                     |           492872 |  15
 Bain                           | Ronald               | Mr.          | Y                     |           606722 |  16
 Baker                          | Dorothy              | Ms.          | N                     |            54384 |  15
 Baldwin                        |                      | Mr.          |                       |           751214 |  15
 Ball                           | Amy                  | Mrs.         | N                     |           511203 |  16
 Ball                           | Samantha             | Ms.          | Y                     |           329121 |  15
 Ballard                        | Anglea               | Dr.          | N                     |           113791 |  16
 Ballou                         | Bradley              | Sir          | N                     |           202292 |  15
 Banks                          | Ben                  | Mr.          | Y                     |            62119 |  15
 Banks                          | Joe                  | Mr.          | Y                     |           236141 |  15
 Banks                          | Thomas               | Sir          | Y                     |           411404 |  16
 Barbosa                        | Marlyn               | Miss         | N                     |           424715 |  15
 Barksdale                      | Beatrice             | Mrs.         | N                     |           362564 |  16
 Barnes                         | Donna                | Mrs.         | Y                     |           269771 |  15
 Barnes                         | Karen                | Dr.          | N                     |           182876 |  16
 Barnes                         | Rudy                 | Mr.          | Y                     |           473936 |  15
 Barnett                        | Dylan                | Mr.          | Y                     |           430773 |  15
 Barnett                        | Eunice               | Miss         | Y                     |           519693 |  15
 Barnett                        | Gregory              | Mr.          | Y                     |           936533 |  16
 Barnett                        | Traci                | Mrs.         | Y                     |           120658 |  15
 Barney                         | Theodore             | Mr.          | Y                     |           259905 |  15
 Barreto                        | Herta                | Ms.          | Y                     |           189066 |  15
 Barrett                        | David                | Sir          | Y                     |           932736 |  15
 Barrios                        | Joseph               | Mr.          | Y                     |           257942 |  16
 Bartlett                       | Sherry               | Dr.          | N                     |             6987 |  15
 Bautista                       | Joseph               | Dr.          | N                     |           157457 |  15
 Baylor                         | Katherine            |              |                       |           444686 |  15
 Beasley                        | Willie               | Mr.          | N                     |           611058 |  15
 Beeler                         | Jacqueline           | Ms.          | Y                     |           625965 |  15
 Belcher                        | James                | Dr.          | Y                     |           311548 |  15
 Bell                           | David                | Mr.          | Y                     |           866440 |  15
 Bell                           | James                | Sir          | N                     |           427071 |  15
 Bell                           | Michael              | Sir          | Y                     |           659066 |  15
 Bellamy                        | Eduardo              | Sir          | N                     |           159369 |  15
 Bender                         | Joann                | Dr.          | N                     |           221403 |  16
 Bender                         | Ruby                 | Mrs.         | Y                     |           922020 |  15
 Benjamin                       | Avis                 | Dr.          | Y                     |           926976 |  15
 Bennett                        | Carrie               | Ms.          | Y                     |           629882 |  15
 Bennett                        | Deandre              | Dr.          | Y                     |           802011 |  15
 Benson                         | Michael              | Sir          | Y                     |           673623 |  15
 Berg                           | Betty                | Miss         | Y                     |           373735 |  15
 Berry                          | Angela               | Miss         | Y                     |           540246 |  16
 Billings                       | Edgar                | Dr.          | Y                     |           287998 |  16
 Bills                          | Lillian              | Mrs.         | Y                     |           541923 |  15
 Bishop                         | Nicole               | Dr.          | Y                     |           717623 |  15
 Black                          | Clinton              | Dr.          | N                     |           462563 |  16
 Blackwell                      | Frank                | Sir          | N                     |           495985 |  15
 Blair                          | Harold               | Sir          | N                     |            52965 |  15
 Blakely                        |                      |              | Y                     |           244910 |  15
 Blevins                        | Luis                 | Sir          | Y                     |           107472 |  16
 Bolen                          | Susan                | Dr.          | N                     |           955692 |  15
 Bollinger                      | Jeffrey              | Sir          | Y                     |           321531 |  15
 Bolton                         | Adam                 | Mrs.         | N                     |           694957 |  16
 Bond                           | Miguel               | Sir          | N                     |            79842 |  15
 Borges                         | Aaron                | Dr.          | N                     |           910850 |  16
 Bourque                        | Janet                | Mrs.         | Y                     |           166807 |  15
 Bowles                         | Michael              | Mr.          | Y                     |           263915 |  15
 Boyle                          | Brian                | Dr.          | N                     |           800099 |  15
 Bradford                       | Andrea               | Miss         | N                     |           286121 |  15
 Brady                          | Jennifer             | Mrs.         | N                     |           455446 |  16
 Bridges                        | Agnes                | Mrs.         | N                     |           643618 |  15
 Bright                         | Annie                | Ms.          | Y                     |           651289 |  16
 Brink                          | Richard              | Dr.          | N                     |            31129 |  15
 Britton                        | Howard               | Sir          | N                     |           606433 |  15
 Brock                          | Evelyn               | Dr.          | N                     |           404284 |  15
 Bronson                        | Roy                  | Mr.          | N                     |           437675 |  15
 Brooks                         | Dan                  | Dr.          | Y                     |           180460 |  16
 Brooks                         | Pauline              | Miss         | Y                     |            97129 |  15
 Brower                         | Dudley               | Sir          | N                     |           308476 |  15
 Brown                          | Alicia               | Ms.          | Y                     |           855303 |  15
 Brown                          | Beulah               | Miss         | Y                     |           392148 |  15
 Brown                          | Bill                 | Mr.          | Y                     |           145808 |  16
 Brown                          | Brenda               | Mrs.         | Y                     |           401518 |  16
 Brown                          | Carrie               | Mrs.         | N                     |           200605 |  16
 Brown                          | Dennis               | Dr.          | Y                     |           634619 |  15
 Brown                          | Dennis               | Dr.          | Y                     |           763424 |  15
 Brown                          | Eddie                | Dr.          | Y                     |           449730 |  15
 Brown                          | George               | Sir          | Y                     |           151312 |  15
 Brown                          | Ira                  | Sir          | N                     |           278971 |  15
 Brown                          | Jane                 | Miss         | N                     |              817 |  16
 Brown                          | Jane                 | Mrs.         | Y                     |           889964 |  15
 Brown                          | Kelsey               | Dr.          | N                     |           884142 |  15
 Brown                          | Lyndsey              | Ms.          | Y                     |           606872 |  15
 Brown                          | Michael              | Mr.          | N                     |           776704 |  15
 Brown                          | Robert               | Mr.          | Y                     |           528201 |  16
 Brown                          | Todd                 | Mr.          | N                     |           227517 |  15
 Brown                          | Wayne                | Sir          | N                     |           791575 |  16
 Browning                       | Kasandra             | Dr.          | N                     |           874598 |  16
 Brownlee                       | Raymond              | Dr.          | Y                     |           411795 |  15
 Bruce                          | Wm                   | Mr.          | Y                     |           912298 |  16
 Bruton                         | Agnes                | Miss         | N                     |           612885 |  16
 Bryant                         | Bruce                | Mr.          | N                     |           838874 |  16
 Bryant                         | Shawn                | Dr.          | Y                     |           586830 |  15
 Buchanan                       | Miriam               | Mrs.         | N                     |           525419 |  16
 Bui                            | Steven               | Mr.          | Y                     |           508597 |  15
 Burdette                       | Lawrence             | Sir          | N                     |            97731 |  15
 Burge                          | Nancy                | Dr.          | N                     |           412071 |  15
 Burnett                        | Richard              | Dr.          | N                     |           183447 |  15
 Burns                          | Bernice              | Dr.          | Y                     |           557124 |  15
 Burns                          | Jane                 | Mrs.         | Y                     |            51641 |  16
 Burnside                       |                      |              |                       |           619592 |  15
 Burris                         | Dora                 | Miss         | Y                     |           233091 |  15
 Buss                           | Rozanne              | Dr.          | N                     |           919118 |  15
 Butler                         | Ellen                | Dr.          | Y                     |           113000 |  15
 Byrd                           | Stacey               | Sir          | N                     |           834722 |  15
 Cabrera                        | Susan                | Mrs.         | N                     |           498094 |  16
 Caldwell                       | Matthew              | Sir          | Y                     |           682715 |  15
 Campbell                       | Eddie                | Sir          | N                     |           221396 |  16
 Campbell                       | Patrick              | Mr.          | N                     |           276073 |  15
 Campos                         | Kevin                | Mr.          | Y                     |           749313 |  16
 Canales                        | Brendan              | Dr.          | N                     |           921998 |  16
 Candelaria                     | Deborah              | Miss         | Y                     |             5921 |  16
 Cano                           | Joseph               | Dr.          | N                     |           571189 |  15
 Canty                          | Charles              | Sir          | N                     |             4751 |  15
 Canty                          | Leah                 | Ms.          | Y                     |           337975 |  15
 Cardona                        |                      | Dr.          |                       |           697017 |  15
