Timing is on.
          c_last_name           |     c_first_name     |    ca_city     |   bought_city   | ss_ticket_number |   amt    |  profit   
--------------------------------+----------------------+----------------+-----------------+------------------+----------+-----------
 Aaron                          | Billy                | Bennett        | Highland Park   |            12838 |  5970.83 | -11873.24
 Aaron                          | Charles              | Wilson         | Sheffield       |           785920 |     0.00 |  -4775.95
 Aaron                          | Emily                | Buena Vista    | Red Hill        |            74357 |  1958.75 | -15640.60
 Aaron                          | Jon                  | Hillcrest      | Salem           |           261794 |   233.13 |  -5799.90
 Aaron                          | Josphine             | Belmont        | Franklin        |           924099 |  1632.34 |  -9926.86
 Aaron                          | Martha               | Lincoln        | Farmington      |           276522 |     8.97 |  -1946.83
 Aaron                          | Robert               | Mount Olive    | Maple Grove     |           375691 |   663.12 | -15175.17
 Aaron                          | Suzann               | Macedonia      | Hubbard         |           352595 |  1600.34 |  -4146.17
 Abbott                         | Ann                  | Clifton        | Mount Olive     |           344576 |  1671.00 |  -9050.23
 Abbott                         | Bruce                | Waterloo       | Concord         |           923478 |  4659.74 | -23160.98
 Abbott                         | Chang                | Summerville    | Arlington       |           841110 |  1134.34 |  -7594.48
 Abbott                         | Denise               | Oakwood        | Greenfield      |           109227 |  3518.03 | -19537.44
 Abbott                         | Donald               | Riverside      | Florence        |           231059 |   401.01 |  -5470.62
 Abbott                         | Garry                | Harmony        | Walnut Grove    |            86877 |  3038.43 | -16881.31
 Abbott                         | Grace                | Monroe         | Woodville       |           693213 |   606.12 |   1970.06
 Abbott                         | Jeffrey              | Forest Hills   | Riverside       |           179863 |   180.54 |  -8032.26
 Abbott                         | Jeffrey              | Forest Hills   | Valley View     |           591804 |   550.75 | -10487.78
 Abbott                         | Jose                 | Friendship     | Johnsonville    |           389136 |  1019.54 |  -5748.97
 Abbott                         | Michael              | Centerville    | Midway          |           864279 |   156.15 | -16706.99
 Abbott                         | Shawn                | Berlin         | Springfield     |           566603 |  1237.77 |  -3409.43
 Abbott                         | Sylvia               | Kingston       | Riverdale       |           115405 |  2619.20 |  -5682.19
 Abbott                         | William              | Oak Ridge      | Bunker Hill     |            87530 |   265.77 |  -6862.87
 Abel                           | Debra                | Buena Vista    | Clinton         |           402247 |   767.02 | -18689.39
 Abel                           | Dorinda              | Sheffield      | Littleton       |           380608 |   230.68 |  -1526.10
 Abel                           | Flora                | Bethel         | Hillcrest       |           183231 |  4356.08 | -10090.35
 Abel                           | Ivan                 | Glendale       | Franklin        |           519223 |  1223.80 |  -8405.61
 Abel                           | Kathleen             | Unionville     | Franklin        |           140212 |   846.74 |  -2361.13
 Abell                          | James                | Pleasant Grove | Five Points     |           688855 |   535.25 |  -6840.41
 Abernathy                      | Thomas               | Enterprise     | Fairfield       |           817177 |  1452.12 |   1348.35
 Abner                          | Michael              | Vienna         | Buena Vista     |           391855 |     0.00 | -11009.93
 Abney                          | Bridget              | Brunswick      | Antioch         |           473640 |   907.02 | -21233.58
 Abney                          | Ellen                | Whitesville    | Woodville       |            21448 |     0.00 |   -530.24
 Abney                          | Joseph               | Red Hill       | Bridgeport      |           861087 |  2416.25 |  -7217.14
 Abney                          | Kathleen             | Highland Park  | Newport         |           788437 |  2276.46 | -24148.67
 Abraham                        | Harvey               | Riverside      | Five Points     |           130974 |    78.82 |  -2437.48
 Abraham                        | Marsha               | Marion         | Five Forks      |           299937 |  1267.49 | -18400.14
 Abraham                        | Marsha               | Marion         | Riverview       |           805658 |  4159.30 | -19528.35
 Abraham                        | Sheri                | Mount Olive    | Riverview       |           234356 |  1848.96 | -16616.01
 Abraham                        | Wanda                | Newport        | Greenville      |            60534 |  1621.44 |  -2988.17
 Abrams                         | Alta                 | Pine Grove     | Highland Park   |           135939 |  3354.89 | -13956.04
