Timing is on.
 cd_gender | cd_marital_status | cd_education_status  | cnt1 | cd_purchase_estimate | cnt2 | cd_credit_rating | cnt3 | cd_dep_count | cnt4 | cd_dep_employed_count | cnt5 | cd_dep_college_count | cnt6 
-----------+-------------------+----------------------+------+----------------------+------+------------------+------+--------------+------+-----------------------+------+----------------------+------
 F         | D                 | Advanced Degree      |    1 |                 6000 |    1 | Good             |    1 |            6 |    1 |                     3 |    1 |                    3 |    1
 F         | D                 | Unknown              |    1 |                 7000 |    1 | High Risk        |    1 |            1 |    1 |                     5 |    1 |                    6 |    1
 F         | M                 | 2 yr Degree          |    1 |                 1500 |    1 | Low Risk         |    1 |            0 |    1 |                     0 |    1 |                    3 |    1
 F         | M                 | College              |    1 |                  500 |    1 | Low Risk         |    1 |            1 |    1 |                     2 |    1 |                    6 |    1
 F         | M                 | Unknown              |    1 |                 2500 |    1 | Unknown          |    1 |            5 |    1 |                     5 |    1 |                    6 |    1
 F         | S                 | Advanced Degree      |    1 |                 6000 |    1 | Good             |    1 |            3 |    1 |                     1 |    1 |                    5 |    1
 F         | S                 | Primary              |    1 |                 1500 |    1 | High Risk        |    1 |            2 |    1 |                     5 |    1 |                    6 |    1
 F         | U                 | 2 yr Degree          |    1 |                 8500 |    1 | High Risk        |    1 |            6 |    1 |                     4 |    1 |                    0 |    1
 F         | W                 | Advanced Degree      |    1 |                 6000 |    1 | Good             |    1 |            6 |    1 |                     0 |    1 |                    2 |    1
 F         | W                 | Secondary            |    1 |                 6500 |    1 | High Risk        |    1 |            0 |    1 |                     5 |    1 |                    6 |    1
 M         | D                 | 4 yr Degree          |    1 |                  500 |    1 | Good             |    1 |            3 |    1 |                     2 |    1 |                    2 |    1
 M         | D                 | 4 yr Degree          |    1 |                 9500 |    1 | Low Risk         |    1 |            5 |    1 |                     1 |    1 |                    1 |    1
 M         | D                 | Advanced Degree      |    1 |                 6500 |    1 | Good             |    1 |            1 |    1 |                     6 |    1 |                    4 |    1
 M         | D                 | Unknown              |    1 |                 7500 |    1 | High Risk        |    1 |            6 |    1 |                     6 |    1 |                    2 |    1
 M         | M                 | 2 yr Degree          |    1 |                 8000 |    1 | Unknown          |    1 |            6 |    1 |                     6 |    1 |                    3 |    1
 M         | M                 | Unknown              |    1 |                 2500 |    1 | Good             |    1 |            1 |    1 |                     5 |    1 |                    6 |    1
 M         | S                 | 4 yr Degree          |    1 |                 6000 |    1 | Good             |    1 |            1 |    1 |                     6 |    1 |                    4 |    1
 M         | S                 | Advanced Degree      |    1 |                 9500 |    1 | Low Risk         |    1 |            5 |    1 |                     6 |    1 |                    2 |    1
 M         | S                 | College              |    1 |                 2500 |    1 | High Risk        |    1 |            2 |    1 |                     6 |    1 |                    5 |    1
 M         | S                 | Secondary            |    1 |                 2500 |    1 | Low Risk         |    1 |            4 |    1 |                     4 |    1 |                    1 |    1
 M         | S                 | Secondary            |    1 |                 3500 |    1 | Low Risk         |    1 |            1 |    1 |                     1 |    1 |                    6 |    1
 M         | U                 | 2 yr Degree          |    1 |                 1000 |    1 | Good             |    1 |            0 |    1 |                     2 |    1 |                    5 |    1
 M         | U                 | 4 yr Degree          |    1 |                 6000 |    1 | Low Risk         |    1 |            5 |    1 |                     2 |    1 |                    2 |    1
 M         | U                 | College              |    1 |                 5500 |    1 | Low Risk         |    1 |            1 |    1 |                     4 |    1 |                    6 |    1
 M         | U                 | Secondary            |    1 |                 7000 |    1 | Good             |    1 |            6 |    1 |                     5 |    1 |                    0 |    1
 M         | U                 | Unknown              |    1 |                  500 |    1 | Good             |    1 |            2 |    1 |                     6 |    1 |                    6 |    1
 M         | U                 | Unknown              |    1 |                 3000 |    1 | Low Risk         |    1 |            3 |    1 |                     5 |    1 |                    1 |    1
 M         | W                 | 2 yr Degree          |    1 |                 6000 |    1 | Low Risk         |    1 |            5 |    1 |                     0 |    1 |                    1 |    1
 M         | W                 | 2 yr Degree          |    1 |                 7500 |    1 | High Risk        |    1 |            2 |    1 |                     5 |    1 |                    0 |    1
 M         | W                 | 4 yr Degree          |    1 |                 7000 |    1 | Low Risk         |    1 |            2 |    1 |                     5 |    1 |                    5 |    1
 M         | W                 | Secondary            |    1 |                 4000 |    1 | Low Risk         |    1 |            0 |    1 |                     4 |    1 |                    2 |    1
 M         | W                 | Unknown              |    1 |                 3000 |    1 | Unknown          |    1 |            1 |    1 |                     6 |    1 |                    1 |    1
(32 rows)

Time: 12610,591 ms (00:12,611)
